,ts,action,img_path,user_x,lat,lon
799,1601093760.0,recreation_media,./ETRI_data_RP_png/user04/1601079300/RP/1601093760.png,user04,37.43497456666667,127.13888555
806,1599352860.0,recreation_etc,./ETRI_data_RP_png/user04/1599347400/RP/1599352860.png,user04,37.43496026363636,127.13889183636364
815,1600991220.0,work,./ETRI_data_RP_png/user04/1600986000/RP/1600991220.png,user04,37.47770118333333,127.122520225
821,1599014400.0,travel,./ETRI_data_RP_png/user04/1599001800/RP/1599014400.png,user04,37.60943213,127.030244005
835,1600154220.0,work,./ETRI_data_RP_png/user04/1600122300/RP/1600154220.png,user04,37.47766980833333,127.12229024166668
839,1600916100.0,meal,./ETRI_data_RP_png/user04/1600899900/RP/1600916100.png,user04,37.477540927272734,127.12518243636364
850,1600603320.0,outdoor_act,./ETRI_data_RP_png/user04/1600558200/RP/1600603320.png,user04,37.43495365454545,127.13887277272724
859,1600603320.0,study,./ETRI_data_RP_png/user02/1600592340/RP/1600603320.png,user02,37.52985128333333,127.03756523333332
880,1599133800.0,outdoor_act,./ETRI_data_RP_png/user04/1599085500/RP/1599133800.png,user04,37.43271007142858,127.13870587619049
888,1601096520.0,personal_care,./ETRI_data_RP_png/user02/1601046000/RP/1601096520.png,user02,37.52974185,127.03756656428573
899,1601096520.0,recreation_media,./ETRI_data_RP_png/user04/1601079300/RP/1601096520.png,user04,37.43495878181818,127.1388894818182
904,1601099040.0,recreation_media,./ETRI_data_RP_png/user04/1601079300/RP/1601099040.png,user04,37.43496711666666,127.138880675
917,1600669200.0,work,./ETRI_data_RP_png/user04/1600640400/RP/1600669200.png,user04,37.477735716666665,127.12280885833331
921,1600669200.0,work,./ETRI_data_RP_png/user02/1600614000/RP/1600669200.png,user02,37.52151472222222,127.03271525555556
934,1600418760.0,work,./ETRI_data_RP_png/user04/1600380900/RP/1600418760.png,user04,37.47769534166667,127.12237089999996
942,1599627780.0,shop,./ETRI_data_RP_png/user12/1599600600/RP/1599627780.png,user12,37.60651822,126.92130567999996
947,1600253400.0,outdoor_act,./ETRI_data_RP_png/user04/1600207800/RP/1600253400.png,user04,37.481233933333336,127.14255910833332
955,1600081200.0,outdoor_act,./ETRI_data_RP_png/user04/1600035000/RP/1600081200.png,user04,37.48123410833334,127.14256873333332
976,1599313800.0,travel,./ETRI_data_RP_png/user04/1599261300/RP/1599313800.png,user04,37.45506142727272,127.14654781818182
979,1599209340.0,work,./ETRI_data_RP_png/user02/1599146220/RP/1599209340.png,user02,37.52153945555556,127.03271970000002
984,1599209340.0,work,./ETRI_data_RP_png/user04/1599174600/RP/1599209340.png,user04,37.47770340833333,127.12308480000002
991,1599272940.0,travel,./ETRI_data_RP_png/user04/1599261300/RP/1599272940.png,user04,35.13771265263157,126.79082396315786
1007,1601177760.0,travel,./ETRI_data_RP_png/user04/1601163000/RP/1601177760.png,user04,37.43618573333334,127.1390719190476
1024,1599819240.0,meal,./ETRI_data_RP_png/user04/1599776160/RP/1599819240.png,user04,37.43494284166667,127.13887535
1026,1598923080.0,work,./ETRI_data_RP_png/user02/1598886000/RP/1598923080.png,user02,37.52157505555556,127.03276732222224
1029,1600227120.0,socialising,./ETRI_data_RP_png/user04/1600207800/RP/1600227120.png,user04,37.478026689473694,127.12285394736844
1038,1600771140.0,work,./ETRI_data_RP_png/user04/1600726800/RP/1600771140.png,user04,37.47766861666666,127.12228719166669
1041,1600771140.0,meal,./ETRI_data_RP_png/user02/1600700400/RP/1600771140.png,user02,37.51995490833333,127.03158759999998
1061,1600000080.0,recreation_media,./ETRI_data_RP_png/user04/1599957060/RP/1600000080.png,user04,37.43497254166667,127.13891332500002
1064,1601040180.0,socialising,./ETRI_data_RP_png/user04/1600986000/RP/1601040180.png,user04,37.4350044,127.13910367222222
1081,1600767900.0,meal,./ETRI_data_RP_png/user04/1600726800/RP/1600767900.png,user04,37.477806581818186,127.12469129090908
1085,1600767900.0,meal,./ETRI_data_RP_png/user02/1600700400/RP/1600767900.png,user02,37.51994569166667,127.031569025
1095,1599102780.0,meal,./ETRI_data_RP_png/user04/1599085500/RP/1599102780.png,user04,37.48787475882353,127.1325260529412
1098,1599102780.0,meal,./ETRI_data_RP_png/user02/1599058800/RP/1599102780.png,user02,37.524011425000005,127.028339175
1108,1600596180.0,socialising,./ETRI_data_RP_png/user04/1600558200/RP/1600596180.png,user04,37.43493807499999,127.13887478333336
1117,1600596180.0,meal,./ETRI_data_RP_png/user02/1600592340/RP/1600596180.png,user02,37.52973970588235,127.03764415294116
1125,1599100560.0,work,./ETRI_data_RP_png/user04/1599085500/RP/1599100560.png,user04,37.47774104166667,127.12246966666667
1132,1599113880.0,work,./ETRI_data_RP_png/user02/1599058800/RP/1599113880.png,user02,37.52133617777778,127.03295073333334
1137,1599113880.0,work,./ETRI_data_RP_png/user04/1599085500/RP/1599113880.png,user04,37.47773334166667,127.12240729999998
1143,1600075800.0,travel,./ETRI_data_RP_png/user04/1600035000/RP/1600075800.png,user04,37.47511282499999,127.130851495
1150,1599965460.0,study,./ETRI_data_RP_png/user02/1599922800/RP/1599965460.png,user02,37.529762825000006,127.037574275
1163,1599300600.0,recreation_etc,./ETRI_data_RP_png/user04/1599261300/RP/1599300600.png,user04,35.14207583333334,126.79404557500004
1173,1598937180.0,work,./ETRI_data_RP_png/user04/1598912400/RP/1598937180.png,user04,37.47768556363636,127.1223706818182
1182,1599310260.0,travel,./ETRI_data_RP_png/user04/1599261300/RP/1599310260.png,user04,36.908719415,127.07546917000002
1199,1599986460.0,work,./ETRI_data_RP_png/user02/1599922800/RP/1599986460.png,user02,37.52147361666666,127.032851325
1209,1599383640.0,household,./ETRI_data_RP_png/user04/1599347400/RP/1599383640.png,user04,37.43494943636364,127.1388943
1210,1599383640.0,entertainment,./ETRI_data_RP_png/user12/1599345000/RP/1599383640.png,user12,37.2633897,128.19850232500002
1229,1600754940.0,work,./ETRI_data_RP_png/user04/1600726800/RP/1600754940.png,user04,37.47771503846154,127.12312544615384
1233,1600754940.0,work,./ETRI_data_RP_png/user02/1600700400/RP/1600754940.png,user02,37.521516175,127.03270864999998
1246,1600230780.0,work,./ETRI_data_RP_png/user04/1600207800/RP/1600230780.png,user04,37.477690208333335,127.12249348333334
1250,1598836500.0,work,./ETRI_data_RP_png/user04/1598828400/RP/1598836500.png,user04,37.49437272000001,127.12731365999998
1254,1599911220.0,travel,./ETRI_data_RP_png/user04/1599859800/RP/1599911220.png,user04,37.53262449999999,127.00836186
1258,1599911220.0,study,./ETRI_data_RP_png/user02/1599893100/RP/1599911220.png,user02,37.529894308333326,127.03766509166668
1268,1600754820.0,work,./ETRI_data_RP_png/user02/1600700400/RP/1600754820.png,user02,37.521515325,127.03270739999998
1284,1600754820.0,work,./ETRI_data_RP_png/user04/1600726800/RP/1600754820.png,user04,37.47787927619048,127.1227063190476
1290,1600920300.0,travel,./ETRI_data_RP_png/user04/1600899900/RP/1600920300.png,user04,37.462277955,127.12606356999996
1306,1599371400.0,household,./ETRI_data_RP_png/user04/1599347400/RP/1599371400.png,user04,37.434972908333336,127.13890406666668
1312,1598858640.0,work,./ETRI_data_RP_png/user04/1598828400/RP/1598858640.png,user04,37.47772765833333,127.1226187
1314,1600757640.0,work,./ETRI_data_RP_png/user02/1600700400/RP/1600757640.png,user02,37.5215182,127.03270343333332
1319,1600757640.0,work,./ETRI_data_RP_png/user04/1600726800/RP/1600757640.png,user04,37.477678725,127.1223247
1323,1600926420.0,work,./ETRI_data_RP_png/user04/1600899900/RP/1600926420.png,user04,37.477677066666665,127.1223573777778
1331,1598947920.0,work,./ETRI_data_RP_png/user04/1598912400/RP/1598947920.png,user04,37.47771726363636,127.12245971818184
1336,1598947920.0,work,./ETRI_data_RP_png/user02/1598886000/RP/1598947920.png,user02,37.52158123333333,127.03276698888892
1340,1600906860.0,work,./ETRI_data_RP_png/user04/1600899900/RP/1600906860.png,user04,37.47770923636364,127.12262178181815
1353,1600404420.0,work,./ETRI_data_RP_png/user04/1600380900/RP/1600404420.png,user04,37.47769136363635,127.1228188818182
1372,1599111600.0,work,./ETRI_data_RP_png/user04/1599085500/RP/1599111600.png,user04,37.47767141333334,127.12292788666667
1375,1599111600.0,work,./ETRI_data_RP_png/user02/1599058800/RP/1599111600.png,user02,37.52162302499999,127.03242490833333
1382,1599448260.0,meal,./ETRI_data_RP_png/user04/1599430860/RP/1599448260.png,user04,37.47798621363636,127.12177012272728
1386,1600648260.0,work,./ETRI_data_RP_png/user04/1600640400/RP/1600648260.png,user04,37.47768916666666,127.12296070000002
1389,1600648260.0,work,./ETRI_data_RP_png/user02/1600614000/RP/1600648260.png,user02,37.521514088888885,127.03270496666669
1393,1600386780.0,work,./ETRI_data_RP_png/user04/1600380900/RP/1600386780.png,user04,37.477687025,127.122350725
1408,1601119200.0,household,./ETRI_data_RP_png/user04/1601079300/RP/1601119200.png,user04,37.434969425,127.13887526666667
1417,1600166640.0,household,./ETRI_data_RP_png/user04/1600122300/RP/1600166640.png,user04,37.43493905454545,127.13887695454542
1422,1600166640.0,shop,./ETRI_data_RP_png/user06/1600095600/RP/1600166640.png,user06,37.46230624166667,127.036329325
1427,1601111940.0,shop,./ETRI_data_RP_png/user12/1601076000/RP/1601111940.png,user12,37.611340980952384,126.92924098571427
1434,1601111940.0,meal,./ETRI_data_RP_png/user04/1601079300/RP/1601111940.png,user04,37.434967025,127.13888101666667
1437,1601111940.0,personal_care,./ETRI_data_RP_png/user02/1601046000/RP/1601111940.png,user02,37.53537719166666,127.009764875
1442,1599272100.0,travel,./ETRI_data_RP_png/user04/1599261300/RP/1599272100.png,user04,35.47838478571428,126.79149371428572
1450,1599291300.0,meal,./ETRI_data_RP_png/user04/1599261300/RP/1599291300.png,user04,35.349912970000005,126.38812722
1462,1599206580.0,work,./ETRI_data_RP_png/user04/1599174600/RP/1599206580.png,user04,37.47769366666666,127.12288203333334
1466,1600755900.0,work,./ETRI_data_RP_png/user04/1600726800/RP/1600755900.png,user04,37.47774061666667,127.12252538333333
1470,1600755900.0,work,./ETRI_data_RP_png/user02/1600700400/RP/1600755900.png,user02,37.521514591666666,127.03270846666663
1491,1599893820.0,socialising,./ETRI_data_RP_png/user04/1599859800/RP/1599893820.png,user04,37.43498310833333,127.1389043
1493,1599893820.0,entertainment,./ETRI_data_RP_png/user12/1599867000/RP/1599893820.png,user12,37.44671940500001,126.38635649
1505,1599893820.0,household,./ETRI_data_RP_png/user02/1599893100/RP/1599893820.png,user02,37.55086135,127.19403632142856
1516,1600072560.0,work,./ETRI_data_RP_png/user04/1600035000/RP/1600072560.png,user04,37.47770735,127.12244165
1520,1601092680.0,recreation_media,./ETRI_data_RP_png/user04/1601079300/RP/1601092680.png,user04,37.43496918333333,127.138903025
1531,1601092680.0,personal_care,./ETRI_data_RP_png/user06/1601046000/RP/1601092680.png,user06,37.51365539523809,127.04576464285712
1534,1601092680.0,recreation_media,./ETRI_data_RP_png/user02/1601046000/RP/1601092680.png,user02,37.52983435384616,127.0375976923077
1540,1599860520.0,recreation_media,./ETRI_data_RP_png/user04/1599859800/RP/1599860520.png,user04,37.43495651666667,127.13889604166664
1548,1600575480.0,work,./ETRI_data_RP_png/user04/1600558200/RP/1600575480.png,user04,37.43493604166667,127.138873325
1552,1600471620.0,recreation_etc,./ETRI_data_RP_png/user04/1600470000/RP/1600471620.png,user04,37.434939515,127.13887437999998
1558,1599903300.0,socialising,./ETRI_data_RP_png/user04/1599859800/RP/1599903300.png,user04,37.522122825,127.03142849166666
1569,1599903300.0,sleep,./ETRI_data_RP_png/user02/1599893100/RP/1599903300.png,user02,37.529802025,127.03764339166668
1579,1598873580.0,outdoor_act,./ETRI_data_RP_png/user04/1598828400/RP/1598873580.png,user04,37.43318059999999,127.13893424285716
1588,1600683600.0,outdoor_act,./ETRI_data_RP_png/user04/1600640400/RP/1600683600.png,user04,37.480565395,127.142444165
1591,1600683600.0,work,./ETRI_data_RP_png/user02/1600614000/RP/1600683600.png,user02,37.521526025,127.032702925
1597,1600683600.0,personal_care,./ETRI_data_RP_png/user06/1600614000/RP/1600683600.png,user06,37.51372198999999,127.045949055
1600,1600900320.0,meal,./ETRI_data_RP_png/user04/1600899900/RP/1600900320.png,user04,37.43494672727273,127.13885178181818
1603,1600216680.0,work,./ETRI_data_RP_png/user04/1600207800/RP/1600216680.png,user04,37.47767635,127.12254055
1606,1601021280.0,shop,./ETRI_data_RP_png/user11/1600959600/RP/1601021280.png,user11,37.48594708571428,126.98251495238097
1612,1601021280.0,work,./ETRI_data_RP_png/user04/1600986000/RP/1601021280.png,user04,37.47776021666667,127.12312268333334
1616,1601096460.0,recreation_media,./ETRI_data_RP_png/user04/1601079300/RP/1601096460.png,user04,37.43495828333334,127.13888853333331
1620,1601096460.0,personal_care,./ETRI_data_RP_png/user02/1601046000/RP/1601096460.png,user02,37.529741475,127.0375711
1628,1599385380.0,household,./ETRI_data_RP_png/user04/1599347400/RP/1599385380.png,user04,37.43496303333334,127.13890339166664
1635,1601008500.0,work,./ETRI_data_RP_png/user04/1600986000/RP/1601008500.png,user04,37.47774743333333,127.12239201666664
1638,1601008500.0,work,./ETRI_data_RP_png/user02/1600961640/RP/1601008500.png,user02,37.52152791111112,127.03272983333332
1644,1599741000.0,shop,./ETRI_data_RP_png/user12/1599690600/RP/1599741000.png,user12,37.54140136666667,127.01787931904762
1649,1599124320.0,work,./ETRI_data_RP_png/user04/1599085500/RP/1599124320.png,user04,37.47773325,127.12235035
1652,1599124320.0,meal,./ETRI_data_RP_png/user02/1599058800/RP/1599124320.png,user02,37.52141205,127.03256838
1657,1600762500.0,work,./ETRI_data_RP_png/user04/1600726800/RP/1600762500.png,user04,37.47767613333334,127.122314275
1661,1600762500.0,work,./ETRI_data_RP_png/user02/1600700400/RP/1600762500.png,user02,37.521510544444446,127.0326992777778
1666,1599432540.0,personal_care,./ETRI_data_RP_png/user04/1599430860/RP/1599432540.png,user04,37.43494330833333,127.13888360833334
1671,1600760640.0,work,./ETRI_data_RP_png/user02/1600700400/RP/1600760640.png,user02,37.52151053333333,127.03271266666668
1682,1600760640.0,work,./ETRI_data_RP_png/user04/1600726800/RP/1600760640.png,user04,37.47789755833333,127.12272065
1696,1599910440.0,sleep,./ETRI_data_RP_png/user02/1599893100/RP/1599910440.png,user02,37.53011475,127.03768855
1702,1599910440.0,travel,./ETRI_data_RP_png/user04/1599859800/RP/1599910440.png,user04,37.52211220625,127.0313838
1716,1601089860.0,household,./ETRI_data_RP_png/user02/1601046000/RP/1601089860.png,user02,37.52975272727273,127.03753667272728
1732,1601089860.0,recreation_media,./ETRI_data_RP_png/user04/1601079300/RP/1601089860.png,user04,37.43497404166666,127.13889570000002
1740,1600162560.0,travel,./ETRI_data_RP_png/user04/1600122300/RP/1600162560.png,user04,37.47637970909091,127.1267566
1752,1600004160.0,socialising,./ETRI_data_RP_png/user04/1599957060/RP/1600004160.png,user04,37.434969550000005,127.13889653333332
1760,1600155960.0,work,./ETRI_data_RP_png/user04/1600122300/RP/1600155960.png,user04,37.47766505,127.12234825
1765,1600155960.0,community_interaction,./ETRI_data_RP_png/user06/1600095600/RP/1600155960.png,user06,37.68406399999999,126.88521951
1777,1599978840.0,recreation_media,./ETRI_data_RP_png/user02/1599922800/RP/1599978840.png,user02,37.52976463846154,127.03755642307692
1793,1599978840.0,outdoor_act,./ETRI_data_RP_png/user04/1599957060/RP/1599978840.png,user04,37.434940275,127.13887894166668
1795,1599978840.0,shop,./ETRI_data_RP_png/user12/1599951120/RP/1599978840.png,user12,37.56064847777778,126.99713302222222
1802,1601085540.0,socialising,./ETRI_data_RP_png/user04/1601079300/RP/1601085540.png,user04,37.4349493,127.13885778333334
1807,1601085540.0,recreation_media,./ETRI_data_RP_png/user02/1601046000/RP/1601085540.png,user02,37.52985239166666,127.03761690833332
1815,1598944740.0,work,./ETRI_data_RP_png/user04/1598912400/RP/1598944740.png,user04,37.477708481818176,127.1223011818182
1824,1599313320.0,travel,./ETRI_data_RP_png/user04/1599261300/RP/1599313320.png,user04,37.4711069,127.12679654166668
1827,1598841360.0,travel,./ETRI_data_RP_png/user04/1598828400/RP/1598841360.png,user04,37.54941619,127.092515345
1830,1599733080.0,household,./ETRI_data_RP_png/user04/1599690000/RP/1599733080.png,user04,37.43495739166666,127.1388807
