ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity
1598831040.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,4
1598831100.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,4
1598831160.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,2
1598831220.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,4
1598831280.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,4,4,4
1598831340.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,4,4,2
1598831400.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,4,4,2
1598831460.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,4,4,2
1598831520.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,4,4,2
1598831580.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,4,4,2
1598831640.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,4,4,2
1598831700.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,4,4,2
1598831760.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,4,4,2
1598831820.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,4,4,2
1598831880.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,4,4,2
1598831940.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,4,4,4
1598832000.0,work,211,,,WITH_MANY,3,2,workplace,3,5,4
1598832060.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832120.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832180.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832240.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832300.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832360.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832420.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832480.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832540.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832600.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832660.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832720.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832780.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832840.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832900.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598832960.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833020.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833080.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833140.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833200.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833260.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833320.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833380.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833440.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833500.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833560.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833620.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833680.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833740.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833800.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833860.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833920.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598833980.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834040.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834100.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834160.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834220.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834280.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834340.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834400.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834460.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834520.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834580.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834640.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834700.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834760.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834820.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834880.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598834940.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835000.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835060.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835120.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835180.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835240.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835300.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835360.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835420.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835480.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835540.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835600.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835660.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835720.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835780.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835840.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835900.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598835960.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836020.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836080.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836140.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836200.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836260.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836320.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836380.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836440.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836500.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836560.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836620.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836680.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836740.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836800.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836860.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836920.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598836980.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837040.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837100.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837160.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837220.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837280.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837340.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837400.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837460.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837520.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837580.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837640.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837700.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837760.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837820.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837880.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598837940.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838000.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838060.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838120.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838180.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838240.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838300.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838360.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838420.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838480.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838540.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838600.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838660.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838720.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838780.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838840.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838900.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598838960.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839020.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839080.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839140.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839200.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839260.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839320.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839380.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839440.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839500.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839560.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839620.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839680.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839740.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839800.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839860.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839920.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598839980.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598840040.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598840100.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598840160.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598840220.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598840280.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598840340.0,work,211,,,WITH_MANY,3,2,workplace,3,5,4
1598840400.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598840460.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598840520.0,work,211,,,WITH_MANY,3,2,workplace,3,5,4
1598840580.0,work,211,,,WITH_MANY,3,2,workplace,3,5,4
1598840640.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598840700.0,work,211,,,WITH_MANY,3,2,workplace,3,5,4
1598840760.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598840820.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598840880.0,work,211,,,WITH_MANY,3,2,workplace,3,5,4
1598840940.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841000.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841060.0,work,211,,,WITH_MANY,3,2,workplace,3,5,2
1598841120.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841180.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841240.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841300.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841360.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841420.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841480.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841540.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841600.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841660.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841720.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841780.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841840.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841900.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598841960.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842020.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842080.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842140.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842200.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842260.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842320.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842380.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842440.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842500.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842560.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842620.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842680.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842740.0,work,211,,,WITH_MANY,3,2,workplace,3,5,3
1598842800.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598842860.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,2
1598842920.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598842980.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598843040.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,2
1598843100.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598843160.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,2
1598843220.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,2
1598843280.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598843340.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598843400.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598843460.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598843520.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598843580.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,2
1598843640.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,2
1598843700.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598843760.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598843820.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598843880.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598843940.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598844000.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598844060.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598844120.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598844180.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598844240.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598844300.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598844360.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598844420.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598844480.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598844540.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598844600.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,0
1598844660.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598844720.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598844780.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598844840.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598844900.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598844960.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598845020.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598845080.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,2
1598845140.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598845200.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598845260.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598845320.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598845380.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598845440.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598845500.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598845560.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598845620.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598845680.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598845740.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598845800.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598845860.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598845920.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598845980.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598846040.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598846100.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598846160.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,4
1598846220.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598846280.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,3
1598846340.0,meal,121,meal_amount,1,WITH_MANY,3,2,workplace,5,3,2
1598846400.0,work,211,,,WITH_MANY,3,2,workplace,5,4,4
1598846460.0,work,211,,,WITH_MANY,3,2,workplace,5,4,4
1598846520.0,work,211,,,WITH_MANY,3,2,workplace,5,4,4
1598846580.0,work,211,,,WITH_MANY,3,2,workplace,5,4,4
1598846640.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598846700.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598846760.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598846820.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598846880.0,work,211,,,WITH_MANY,3,2,workplace,5,4,4
1598846940.0,work,211,,,WITH_MANY,3,2,workplace,5,4,4
1598847000.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847060.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847120.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847180.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847240.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847300.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847360.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847420.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847480.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847540.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847600.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847660.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847720.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847780.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847840.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847900.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598847960.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848020.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848080.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848140.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848200.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848260.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848320.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848380.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848440.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848500.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848560.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848620.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848680.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848740.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848800.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848860.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848920.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598848980.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849040.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849100.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849160.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849220.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849280.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849340.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849400.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849460.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849520.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849580.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849640.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849700.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849760.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849820.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
1598849880.0,work,211,,,WITH_MANY,3,2,workplace,5,4,3
