,ts,action,img_path
31180,1599194280.0,travel,./train/data/user04/1599174600/RP/1599194280.png
23001,1600582080.0,travel,./train/data/user03/1600533000/RP/1600582080.png
29111,1598921640.0,work,./train/data/user04/1598912400/RP/1598921640.png
23404,1600664340.0,work,./train/data/user03/1600635600/RP/1600664340.png
9987,1599103620.0,meal,./train/data/user02/1599058800/RP/1599103620.png
42010,1600580040.0,work,./train/data/user04/1600558200/RP/1600580040.png
37854,1600075680.0,travel,./train/data/user04/1600035000/RP/1600075680.png
29779,1599018840.0,travel,./train/data/user04/1599001800/RP/1599018840.png
66,1598879640.0,study,./train/data/user01/1598832660/RP/1598879640.png
4445,1600318440.0,meal,./train/data/user01/1600315920/RP/1600318440.png
37719,1600067160.0,work,./train/data/user04/1600035000/RP/1600067160.png
22942,1600587900.0,sleep,./train/data/user03/1600533000/RP/1600587900.png
1618,1599546840.0,personal_care,./train/data/user01/1599531660/RP/1599546840.png
38314,1600066620.0,work,./train/data/user04/1600035000/RP/1600066620.png
29345,1598915340.0,travel,./train/data/user04/1598912400/RP/1598915340.png
11082,1599979920.0,recreation_media,./train/data/user02/1599922800/RP/1599979920.png
34364,1599524640.0,work,./train/data/user04/1599522960/RP/1599524640.png
22029,1600517580.0,recreation_etc,./train/data/user03/1600448400/RP/1600517580.png
34261,1599562140.0,meal,./train/data/user04/1599522960/RP/1599562140.png
31378,1599199740.0,work,./train/data/user04/1599174600/RP/1599199740.png
36085,1599903960.0,socialising,./train/data/user04/1599859800/RP/1599903960.png
16751,1599399120.0,recreation_media,./train/data/user03/1599328800/RP/1599399120.png
25898,1600928580.0,work,./train/data/user03/1600876800/RP/1600928580.png
36047,1599859860.0,recreation_media,./train/data/user04/1599859800/RP/1599859860.png
5854,1600597800.0,work,./train/data/user01/1600527600/RP/1600597800.png
22937,1600587180.0,sleep,./train/data/user03/1600533000/RP/1600587180.png
29760,1599036240.0,work,./train/data/user04/1599001800/RP/1599036240.png
4242,1600344540.0,travel,./train/data/user01/1600315920/RP/1600344540.png
25853,1600904340.0,travel,./train/data/user03/1600876800/RP/1600904340.png
36171,1599883260.0,meal,./train/data/user04/1599859800/RP/1599883260.png
5552,1600594380.0,personal_care,./train/data/user01/1600527600/RP/1600594380.png
6389,1600836180.0,recreation_media,./train/data/user01/1600831800/RP/1600836180.png
7485,1601094060.0,personal_care,./train/data/user01/1601085900/RP/1601094060.png
31103,1599188520.0,work,./train/data/user04/1599174600/RP/1599188520.png
27726,1601206020.0,meal,./train/data/user03/1601141400/RP/1601206020.png
19642,1600146180.0,work,./train/data/user03/1600106400/RP/1600146180.png
37333,1599983220.0,recreation_media,./train/data/user04/1599957060/RP/1599983220.png
7794,1601190600.0,household,./train/data/user01/1601166300/RP/1601190600.png
41531,1600490460.0,work,./train/data/user04/1600470000/RP/1600490460.png
11297,1599995100.0,travel,./train/data/user02/1599922800/RP/1599995100.png
2399,1599919320.0,work,./train/data/user01/1599890820/RP/1599919320.png
3886,1600105200.0,personal_care,./train/data/user01/1600095660/RP/1600105200.png
30820,1599096360.0,work,./train/data/user04/1599085500/RP/1599096360.png
18266,1599980040.0,travel,./train/data/user03/1599928800/RP/1599980040.png
40922,1600427700.0,outdoor_act,./train/data/user04/1600380900/RP/1600427700.png
37148,1600005000.0,socialising,./train/data/user04/1599957060/RP/1600005000.png
3909,1600097160.0,recreation_media,./train/data/user01/1600095660/RP/1600097160.png
18424,1599992400.0,socialising,./train/data/user03/1599928800/RP/1599992400.png
38272,1600038060.0,personal_care,./train/data/user04/1600035000/RP/1600038060.png
6928,1601004240.0,travel,./train/data/user01/1601002200/RP/1601004240.png
4006,1600338180.0,work,./train/data/user01/1600315920/RP/1600338180.png
5064,1600506600.0,work,./train/data/user01/1600450920/RP/1600506600.png
10104,1599124980.0,meal,./train/data/user02/1599058800/RP/1599124980.png
22449,1600522080.0,personal_care,./train/data/user03/1600448400/RP/1600522080.png
12471,1600777020.0,work,./train/data/user02/1600700400/RP/1600777020.png
22249,1600513740.0,recreation_etc,./train/data/user03/1600448400/RP/1600513740.png
10347,1599124440.0,meal,./train/data/user02/1599058800/RP/1599124440.png
21317,1600425900.0,recreation_etc,./train/data/user03/1600371000/RP/1600425900.png
402,1599305580.0,meal,./train/data/user01/1599269580/RP/1599305580.png
31674,1599279600.0,meal,./train/data/user04/1599261300/RP/1599279600.png
22693,1600498620.0,travel,./train/data/user03/1600448400/RP/1600498620.png
27197,1601093880.0,household,./train/data/user03/1601054580/RP/1601093880.png
4111,1600340700.0,recreation_media,./train/data/user01/1600315920/RP/1600340700.png
9728,1599121380.0,work,./train/data/user02/1599058800/RP/1599121380.png
14630,1598871120.0,sleep,./train/data/user03/1598818020/RP/1598871120.png
19803,1600164840.0,recreation_etc,./train/data/user03/1600106400/RP/1600164840.png
22051,1600508880.0,meal,./train/data/user03/1600448400/RP/1600508880.png
38555,1600169640.0,outdoor_act,./train/data/user04/1600122300/RP/1600169640.png
30157,1599107700.0,work,./train/data/user04/1599085500/RP/1599107700.png
10453,1599213180.0,work,./train/data/user02/1599146220/RP/1599213180.png
41669,1600492860.0,work,./train/data/user04/1600470000/RP/1600492860.png
8700,1598921580.0,work,./train/data/user02/1598886000/RP/1598921580.png
18674,1599997140.0,travel,./train/data/user03/1599928800/RP/1599997140.png
47257,1601182020.0,socialising,./train/data/user04/1601163000/RP/1601182020.png
15634,1599102060.0,household,./train/data/user03/1599058980/RP/1599102060.png
19159,1600068960.0,outdoor_act,./train/data/user03/1600020000/RP/1600068960.png
17679,1599549300.0,work,./train/data/user03/1599510360/RP/1599549300.png
44258,1600862760.0,outdoor_act,./train/data/user04/1600816860/RP/1600862760.png
31093,1599218520.0,recreation_etc,./train/data/user04/1599174600/RP/1599218520.png
28105,1601179800.0,meal,./train/data/user03/1601141400/RP/1601179800.png
19908,1600146720.0,work,./train/data/user03/1600106400/RP/1600146720.png
6707,1600838520.0,recreation_media,./train/data/user01/1600831800/RP/1600838520.png
26362,1601032080.0,recreation_etc,./train/data/user03/1600963200/RP/1601032080.png
3196,1600053300.0,travel,./train/data/user01/1600013400/RP/1600053300.png
41431,1600485900.0,meal,./train/data/user04/1600470000/RP/1600485900.png
18735,1600079340.0,socialising,./train/data/user03/1600020000/RP/1600079340.png
11007,1599980040.0,recreation_media,./train/data/user02/1599922800/RP/1599980040.png
42618,1600678200.0,work,./train/data/user04/1600640400/RP/1600678200.png
36682,1599864300.0,recreation_media,./train/data/user04/1599859800/RP/1599864300.png
3916,1600345740.0,travel,./train/data/user01/1600315920/RP/1600345740.png
28687,1598852520.0,work,./train/data/user04/1598828400/RP/1598852520.png
6847,1601008920.0,meal,./train/data/user01/1601002200/RP/1601008920.png
36825,1599894300.0,socialising,./train/data/user04/1599859800/RP/1599894300.png
46817,1601121540.0,household,./train/data/user04/1601079300/RP/1601121540.png
47655,1601178720.0,travel,./train/data/user04/1601163000/RP/1601178720.png
37466,1599965220.0,travel,./train/data/user04/1599957060/RP/1599965220.png
11573,1600601580.0,study,./train/data/user02/1600592340/RP/1600601580.png
40711,1600392840.0,work,./train/data/user04/1600380900/RP/1600392840.png
44298,1600849920.0,work,./train/data/user04/1600816860/RP/1600849920.png
17318,1599550260.0,work,./train/data/user03/1599510360/RP/1599550260.png
40966,1600416660.0,work,./train/data/user04/1600380900/RP/1600416660.png
45950,1601011380.0,work,./train/data/user04/1600986000/RP/1601011380.png
17953,1599633480.0,work,./train/data/user03/1599584400/RP/1599633480.png
47535,1601206080.0,recreation_media,./train/data/user04/1601163000/RP/1601206080.png
1325,1599462060.0,study,./train/data/user01/1599442080/RP/1599462060.png
19768,1600164120.0,recreation_etc,./train/data/user03/1600106400/RP/1600164120.png
9069,1598932800.0,work,./train/data/user02/1598886000/RP/1598932800.png
2261,1599898500.0,travel,./train/data/user01/1599890820/RP/1599898500.png
46334,1601022780.0,work,./train/data/user04/1600986000/RP/1601022780.png
9318,1599033840.0,work,./train/data/user02/1598972400/RP/1599033840.png
18330,1599982200.0,socialising,./train/data/user03/1599928800/RP/1599982200.png
15299,1599041160.0,recreation_media,./train/data/user03/1598986800/RP/1599041160.png
10971,1599997380.0,travel,./train/data/user02/1599922800/RP/1599997380.png
30125,1599045360.0,recreation_etc,./train/data/user04/1599001800/RP/1599045360.png
166,1599309600.0,travel,./train/data/user01/1599269580/RP/1599309600.png
20188,1600228440.0,personal_care,./train/data/user03/1600192800/RP/1600228440.png
26391,1601034900.0,recreation_etc,./train/data/user03/1600963200/RP/1601034900.png
11743,1600683960.0,work,./train/data/user02/1600614000/RP/1600683960.png
2322,1599910080.0,travel,./train/data/user01/1599890820/RP/1599910080.png
12464,1600739040.0,work,./train/data/user02/1600700400/RP/1600739040.png
22829,1600595280.0,recreation_media,./train/data/user03/1600533000/RP/1600595280.png
3889,1600105440.0,personal_care,./train/data/user01/1600095660/RP/1600105440.png
26715,1601032920.0,recreation_etc,./train/data/user03/1600963200/RP/1601032920.png
47053,1601085540.0,socialising,./train/data/user04/1601079300/RP/1601085540.png
779,1599311640.0,travel,./train/data/user01/1599269580/RP/1599311640.png
22767,1600569660.0,socialising,./train/data/user03/1600533000/RP/1600569660.png
32341,1599266460.0,travel,./train/data/user04/1599261300/RP/1599266460.png
7682,1601128740.0,meal,./train/data/user01/1601085900/RP/1601128740.png
4090,1600347300.0,travel,./train/data/user01/1600315920/RP/1600347300.png
3502,1600095120.0,travel,./train/data/user01/1600013400/RP/1600095120.png
4551,1600358040.0,travel,./train/data/user01/1600354800/RP/1600358040.png
24401,1600762020.0,work,./train/data/user03/1600707600/RP/1600762020.png
28657,1598863080.0,work,./train/data/user04/1598828400/RP/1598863080.png
21201,1600342380.0,sleep,./train/data/user03/1600286400/RP/1600342380.png
41701,1600502940.0,work,./train/data/user04/1600470000/RP/1600502940.png
32364,1599271020.0,travel,./train/data/user04/1599261300/RP/1599271020.png
16586,1599384480.0,household,./train/data/user03/1599328800/RP/1599384480.png
41120,1600403340.0,work,./train/data/user04/1600380900/RP/1600403340.png
29703,1599046800.0,recreation_etc,./train/data/user04/1599001800/RP/1599046800.png
36832,1599864480.0,recreation_media,./train/data/user04/1599859800/RP/1599864480.png
13702,1601103180.0,study,./train/data/user02/1601046000/RP/1601103180.png
25255,1600853280.0,meal,./train/data/user03/1600792200/RP/1600853280.png
29977,1599027960.0,work,./train/data/user04/1599001800/RP/1599027960.png
35233,1599724200.0,work,./train/data/user04/1599690000/RP/1599724200.png
7053,1601036820.0,recreation_etc,./train/data/user01/1601002200/RP/1601036820.png
3942,1600327440.0,work,./train/data/user01/1600315920/RP/1600327440.png
33813,1599470580.0,travel,./train/data/user04/1599430860/RP/1599470580.png
8311,1601183640.0,meal,./train/data/user01/1601166300/RP/1601183640.png
1156,1599475620.0,recreation_etc,./train/data/user01/1599442080/RP/1599475620.png
18117,1599981360.0,travel,./train/data/user03/1599928800/RP/1599981360.png
16609,1599401280.0,recreation_media,./train/data/user03/1599328800/RP/1599401280.png
1109,1599465720.0,personal_care,./train/data/user01/1599442080/RP/1599465720.png
38707,1600128480.0,travel,./train/data/user04/1600122300/RP/1600128480.png
20453,1600243440.0,travel,./train/data/user03/1600192800/RP/1600243440.png
4510,1600331340.0,work,./train/data/user01/1600315920/RP/1600331340.png
29726,1599022560.0,work,./train/data/user04/1599001800/RP/1599022560.png
34827,1599692340.0,travel,./train/data/user04/1599690000/RP/1599692340.png
13742,1601107320.0,personal_care,./train/data/user02/1601046000/RP/1601107320.png
25821,1600934100.0,work,./train/data/user03/1600876800/RP/1600934100.png
27110,1601116440.0,recreation_media,./train/data/user03/1601054580/RP/1601116440.png
16161,1599287520.0,meal,./train/data/user03/1599231660/RP/1599287520.png
2279,1599894660.0,hobby,./train/data/user01/1599890820/RP/1599894660.png
4711,1600520340.0,recreation_media,./train/data/user01/1600450920/RP/1600520340.png
39615,1600215540.0,work,./train/data/user04/1600207800/RP/1600215540.png
28905,1598945880.0,work,./train/data/user04/1598912400/RP/1598945880.png
43124,1600680060.0,work,./train/data/user04/1600640400/RP/1600680060.png
42422,1600609500.0,socialising,./train/data/user04/1600558200/RP/1600609500.png
21219,1600351020.0,recreation_media,./train/data/user03/1600286400/RP/1600351020.png
35449,1599818160.0,meal,./train/data/user04/1599776160/RP/1599818160.png
31918,1599274200.0,travel,./train/data/user04/1599261300/RP/1599274200.png
35929,1599783660.0,work,./train/data/user04/1599776160/RP/1599783660.png
20813,1600330800.0,outdoor_act,./train/data/user03/1600286400/RP/1600330800.png
22760,1600609200.0,household,./train/data/user03/1600533000/RP/1600609200.png
16652,1599390000.0,meal,./train/data/user03/1599328800/RP/1599390000.png
23900,1600666500.0,work,./train/data/user03/1600635600/RP/1600666500.png
45801,1601027400.0,travel,./train/data/user04/1600986000/RP/1601027400.png
41175,1600412580.0,work,./train/data/user04/1600380900/RP/1600412580.png
1514,1599450900.0,socialising,./train/data/user01/1599442080/RP/1599450900.png
9796,1599121680.0,work,./train/data/user02/1599058800/RP/1599121680.png
3185,1600079280.0,meal,./train/data/user01/1600013400/RP/1600079280.png
39423,1600250820.0,outdoor_act,./train/data/user04/1600207800/RP/1600250820.png
5261,1600608780.0,meal,./train/data/user01/1600527600/RP/1600608780.png
32049,1599295620.0,travel,./train/data/user04/1599261300/RP/1599295620.png
19140,1600063080.0,work,./train/data/user03/1600020000/RP/1600063080.png
20723,1600324560.0,personal_care,./train/data/user03/1600286400/RP/1600324560.png
14988,1599019560.0,recreation_media,./train/data/user03/1598986800/RP/1599019560.png
15003,1599030600.0,work,./train/data/user03/1598986800/RP/1599030600.png
32264,1599270900.0,travel,./train/data/user04/1599261300/RP/1599270900.png
12579,1600769100.0,meal,./train/data/user02/1600700400/RP/1600769100.png
21283,1600351380.0,recreation_media,./train/data/user03/1600286400/RP/1600351380.png
23097,1600570860.0,socialising,./train/data/user03/1600533000/RP/1600570860.png
6485,1600849080.0,shop,./train/data/user01/1600831800/RP/1600849080.png
19655,1600170120.0,recreation_etc,./train/data/user03/1600106400/RP/1600170120.png
1407,1599476280.0,recreation_etc,./train/data/user01/1599442080/RP/1599476280.png
31943,1599312840.0,travel,./train/data/user04/1599261300/RP/1599312840.png
42808,1600665360.0,work,./train/data/user04/1600640400/RP/1600665360.png
33319,1599450300.0,work,./train/data/user04/1599430860/RP/1599450300.png
37049,1599980340.0,recreation_media,./train/data/user04/1599957060/RP/1599980340.png
25804,1600934460.0,work,./train/data/user03/1600876800/RP/1600934460.png
362,1599287760.0,work,./train/data/user01/1599269580/RP/1599287760.png
18011,1599633060.0,work,./train/data/user03/1599584400/RP/1599633060.png
12324,1600748520.0,work,./train/data/user02/1600700400/RP/1600748520.png
31060,1599189600.0,work,./train/data/user04/1599174600/RP/1599189600.png
8963,1598956320.0,meal,./train/data/user02/1598886000/RP/1598956320.png
12151,1600766340.0,meal,./train/data/user02/1600700400/RP/1600766340.png
18681,1599976320.0,meal,./train/data/user03/1599928800/RP/1599976320.png
38120,1600071900.0,work,./train/data/user04/1600035000/RP/1600071900.png
21086,1600323360.0,personal_care,./train/data/user03/1600286400/RP/1600323360.png
1260,1599452160.0,meal,./train/data/user01/1599442080/RP/1599452160.png
40281,1600303500.0,travel,./train/data/user04/1600294800/RP/1600303500.png
2224,1599898980.0,meal,./train/data/user01/1599890820/RP/1599898980.png
29885,1599020040.0,meal,./train/data/user04/1599001800/RP/1599020040.png
16719,1599393480.0,recreation_media,./train/data/user03/1599328800/RP/1599393480.png
3005,1599974100.0,travel,./train/data/user01/1599922800/RP/1599974100.png
28771,1598859120.0,work,./train/data/user04/1598828400/RP/1598859120.png
45848,1601009760.0,work,./train/data/user04/1600986000/RP/1601009760.png
41496,1600486140.0,meal,./train/data/user04/1600470000/RP/1600486140.png
46307,1601026260.0,travel,./train/data/user04/1600986000/RP/1601026260.png
8752,1598925420.0,work,./train/data/user02/1598886000/RP/1598925420.png
26231,1600953960.0,recreation_etc,./train/data/user03/1600876800/RP/1600953960.png
28851,1598945340.0,work,./train/data/user04/1598912400/RP/1598945340.png
20189,1600254720.0,sleep,./train/data/user03/1600192800/RP/1600254720.png
13856,1601106000.0,travel,./train/data/user02/1601046000/RP/1601106000.png
32773,1599387960.0,meal,./train/data/user04/1599347400/RP/1599387960.png
8713,1598961420.0,work,./train/data/user02/1598886000/RP/1598961420.png
4329,1600323360.0,travel,./train/data/user01/1600315920/RP/1600323360.png
29222,1598915280.0,travel,./train/data/user04/1598912400/RP/1598915280.png
16093,1599299520.0,household,./train/data/user03/1599231660/RP/1599299520.png
23211,1600578780.0,travel,./train/data/user03/1600533000/RP/1600578780.png
670,1599309240.0,work,./train/data/user01/1599269580/RP/1599309240.png
42092,1600582200.0,recreation_etc,./train/data/user04/1600558200/RP/1600582200.png
8227,1601208240.0,meal,./train/data/user01/1601166300/RP/1601208240.png
44624,1600839420.0,work,./train/data/user04/1600816860/RP/1600839420.png
44134,1600767420.0,meal,./train/data/user04/1600726800/RP/1600767420.png
7548,1601104020.0,sleep,./train/data/user01/1601085900/RP/1601104020.png
2258,1599919740.0,work,./train/data/user01/1599890820/RP/1599919740.png
10184,1599097020.0,work,./train/data/user02/1599058800/RP/1599097020.png
33314,1599457260.0,work,./train/data/user04/1599430860/RP/1599457260.png
24583,1600767240.0,travel,./train/data/user03/1600707600/RP/1600767240.png
41658,1600498320.0,work,./train/data/user04/1600470000/RP/1600498320.png
34689,1599732240.0,household,./train/data/user04/1599690000/RP/1599732240.png
17916,1599619380.0,work,./train/data/user03/1599584400/RP/1599619380.png
26360,1601039820.0,recreation_etc,./train/data/user03/1600963200/RP/1601039820.png
34927,1599727500.0,work,./train/data/user04/1599690000/RP/1599727500.png
6022,1600626180.0,household,./train/data/user01/1600614000/RP/1600626180.png
43307,1600658160.0,meal,./train/data/user04/1600640400/RP/1600658160.png
42343,1600582320.0,recreation_etc,./train/data/user04/1600558200/RP/1600582320.png
22506,1600521420.0,personal_care,./train/data/user03/1600448400/RP/1600521420.png
19781,1600150080.0,personal_care,./train/data/user03/1600106400/RP/1600150080.png
39582,1600225800.0,meal,./train/data/user04/1600207800/RP/1600225800.png
35476,1599777180.0,meal,./train/data/user04/1599776160/RP/1599777180.png
30306,1599104160.0,meal,./train/data/user04/1599085500/RP/1599104160.png
16038,1599294240.0,recreation_media,./train/data/user03/1599231660/RP/1599294240.png
41151,1600398720.0,meal,./train/data/user04/1600380900/RP/1600398720.png
35817,1599782280.0,socialising,./train/data/user04/1599776160/RP/1599782280.png
32029,1599284940.0,travel,./train/data/user04/1599261300/RP/1599284940.png
993,1599446700.0,recreation_etc,./train/data/user01/1599442080/RP/1599446700.png
41035,1600404180.0,work,./train/data/user04/1600380900/RP/1600404180.png
17328,1599547860.0,work,./train/data/user03/1599510360/RP/1599547860.png
46437,1601108040.0,socialising,./train/data/user04/1601079300/RP/1601108040.png
22412,1600504260.0,recreation_etc,./train/data/user03/1600448400/RP/1600504260.png
22932,1600568580.0,travel,./train/data/user03/1600533000/RP/1600568580.png
37746,1600086780.0,travel,./train/data/user04/1600035000/RP/1600086780.png
43965,1600776000.0,work,./train/data/user04/1600726800/RP/1600776000.png
35119,1599700740.0,work,./train/data/user04/1599690000/RP/1599700740.png
17391,1599577080.0,recreation_etc,./train/data/user03/1599510360/RP/1599577080.png
29984,1599038700.0,travel,./train/data/user04/1599001800/RP/1599038700.png
17483,1599572280.0,recreation_etc,./train/data/user03/1599510360/RP/1599572280.png
9047,1598961600.0,work,./train/data/user02/1598886000/RP/1598961600.png
24760,1600755600.0,work,./train/data/user03/1600707600/RP/1600755600.png
7504,1601119020.0,recreation_media,./train/data/user01/1601085900/RP/1601119020.png
26463,1600989480.0,travel,./train/data/user03/1600963200/RP/1600989480.png
40193,1600300080.0,socialising,./train/data/user04/1600294800/RP/1600300080.png
31587,1599205740.0,work,./train/data/user04/1599174600/RP/1599205740.png
30152,1599098220.0,work,./train/data/user04/1599085500/RP/1599098220.png
15365,1599040560.0,meal,./train/data/user03/1598986800/RP/1599040560.png
31461,1599206460.0,work,./train/data/user04/1599174600/RP/1599206460.png
43989,1600738680.0,work,./train/data/user04/1600726800/RP/1600738680.png
27382,1601126400.0,recreation_media,./train/data/user03/1601054580/RP/1601126400.png
38952,1600171200.0,outdoor_act,./train/data/user04/1600122300/RP/1600171200.png
1886,1599563580.0,hobby,./train/data/user01/1599531660/RP/1599563580.png
17746,1599609600.0,work,./train/data/user03/1599584400/RP/1599609600.png
33346,1599467580.0,work,./train/data/user04/1599430860/RP/1599467580.png
12927,1600841160.0,work,./train/data/user02/1600786800/RP/1600841160.png
7708,1601128080.0,meal,./train/data/user01/1601085900/RP/1601128080.png
24236,1600753980.0,work,./train/data/user03/1600707600/RP/1600753980.png
14096,1601097000.0,personal_care,./train/data/user02/1601046000/RP/1601097000.png
6306,1600858680.0,recreation_media,./train/data/user01/1600831800/RP/1600858680.png
17911,1599613260.0,work,./train/data/user03/1599584400/RP/1599613260.png
18895,1600059120.0,work,./train/data/user03/1600020000/RP/1600059120.png
37532,1600000860.0,recreation_media,./train/data/user04/1599957060/RP/1600000860.png
29374,1598920080.0,work,./train/data/user04/1598912400/RP/1598920080.png
25729,1600935660.0,work,./train/data/user03/1600876800/RP/1600935660.png
8299,1601199360.0,recreation_media,./train/data/user01/1601166300/RP/1601199360.png
46102,1601004960.0,meal,./train/data/user04/1600986000/RP/1601004960.png
38066,1600039800.0,travel,./train/data/user04/1600035000/RP/1600039800.png
4359,1600348860.0,meal,./train/data/user01/1600315920/RP/1600348860.png
27545,1601213520.0,recreation_media,./train/data/user03/1601141400/RP/1601213520.png
26510,1601027940.0,recreation_etc,./train/data/user03/1600963200/RP/1601027940.png
23297,1600566180.0,personal_care,./train/data/user03/1600533000/RP/1600566180.png
42896,1600645380.0,work,./train/data/user04/1600640400/RP/1600645380.png
43945,1600727820.0,meal,./train/data/user04/1600726800/RP/1600727820.png
46506,1601120040.0,household,./train/data/user04/1601079300/RP/1601120040.png
39656,1600251120.0,outdoor_act,./train/data/user04/1600207800/RP/1600251120.png
12789,1600842900.0,work,./train/data/user02/1600786800/RP/1600842900.png
13416,1601022240.0,work,./train/data/user02/1600961640/RP/1601022240.png
33112,1599379320.0,recreation_etc,./train/data/user04/1599347400/RP/1599379320.png
10832,1599985140.0,work,./train/data/user02/1599922800/RP/1599985140.png
9462,1599020940.0,work,./train/data/user02/1598972400/RP/1599020940.png
31555,1599222000.0,recreation_etc,./train/data/user04/1599174600/RP/1599222000.png
44691,1600857780.0,outdoor_act,./train/data/user04/1600816860/RP/1600857780.png
35918,1599792960.0,meal,./train/data/user04/1599776160/RP/1599792960.png
21336,1600417980.0,recreation_media,./train/data/user03/1600371000/RP/1600417980.png
12553,1600765440.0,meal,./train/data/user02/1600700400/RP/1600765440.png
16813,1599400140.0,recreation_media,./train/data/user03/1599328800/RP/1599400140.png
26065,1600944420.0,outdoor_act,./train/data/user03/1600876800/RP/1600944420.png
1820,1599565620.0,study,./train/data/user01/1599531660/RP/1599565620.png
25682,1600937100.0,work,./train/data/user03/1600876800/RP/1600937100.png
25924,1600905600.0,work,./train/data/user03/1600876800/RP/1600905600.png
32293,1599298020.0,recreation_etc,./train/data/user04/1599261300/RP/1599298020.png
10634,1599905760.0,sleep,./train/data/user02/1599893100/RP/1599905760.png
19689,1600162080.0,meal,./train/data/user03/1600106400/RP/1600162080.png
10463,1599217200.0,socialising,./train/data/user02/1599146220/RP/1599217200.png
10180,1599106260.0,work,./train/data/user02/1599058800/RP/1599106260.png
1874,1599559260.0,travel,./train/data/user01/1599531660/RP/1599559260.png
33884,1599478140.0,meal,./train/data/user04/1599430860/RP/1599478140.png
30637,1599088020.0,travel,./train/data/user04/1599085500/RP/1599088020.png
15789,1599108240.0,work,./train/data/user03/1599058980/RP/1599108240.png
28901,1598934900.0,work,./train/data/user04/1598912400/RP/1598934900.png
8667,1598932080.0,meal,./train/data/user02/1598886000/RP/1598932080.png
26651,1600990320.0,travel,./train/data/user03/1600963200/RP/1600990320.png
17110,1599461460.0,recreation_media,./train/data/user03/1599422400/RP/1599461460.png
32345,1599303000.0,meal,./train/data/user04/1599261300/RP/1599303000.png
12190,1600749960.0,work,./train/data/user02/1600700400/RP/1600749960.png
47113,1601120460.0,household,./train/data/user04/1601079300/RP/1601120460.png
28323,1598841060.0,travel,./train/data/user04/1598828400/RP/1598841060.png
23650,1600664100.0,work,./train/data/user03/1600635600/RP/1600664100.png
19004,1600086840.0,recreation_media,./train/data/user03/1600020000/RP/1600086840.png
17822,1599615720.0,work,./train/data/user03/1599584400/RP/1599615720.png
10516,1599213120.0,work,./train/data/user02/1599146220/RP/1599213120.png
15583,1599128880.0,meal,./train/data/user03/1599058980/RP/1599128880.png
12648,1600764540.0,work,./train/data/user02/1600700400/RP/1600764540.png
24027,1600753620.0,work,./train/data/user03/1600707600/RP/1600753620.png
26251,1600941000.0,household,./train/data/user03/1600876800/RP/1600941000.png
3161,1600007220.0,travel,./train/data/user01/1599922800/RP/1600007220.png
22875,1600610100.0,recreation_media,./train/data/user03/1600533000/RP/1600610100.png
41368,1600482900.0,work,./train/data/user04/1600470000/RP/1600482900.png
46133,1601020980.0,work,./train/data/user04/1600986000/RP/1601020980.png
35454,1599778740.0,travel,./train/data/user04/1599776160/RP/1599778740.png
294,1599307860.0,work,./train/data/user01/1599269580/RP/1599307860.png
25836,1600940280.0,travel,./train/data/user03/1600876800/RP/1600940280.png
17287,1599555000.0,work,./train/data/user03/1599510360/RP/1599555000.png
